2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Hackney 016B,E01001746,632,4,4,39,553,4,3,0
Hackney 016C,E01001757,654,3,9,11,613,12,0,0
Hackney 016D,E01001758,884,14,17,38,719,67,13,0
Hackney 016E,E01001759,750,20,40,180,226,266,13,0
Hackney 016F,E01001761,869,18,25,120,501,177,13,1
Hackney 017A,E01001731,1033,16,21,113,667,119,39,0
Hackney 017B,E01001734,849,16,19,107,344,260,64,0
Hackney 017C,E01001760,765,16,35,125,335,162,79,1
Hackney 017D,E01001762,820,8,33,66,387,289,17,1
Hackney 018A,E01001846,535,19,83,143,282,6,0,2
Hackney 018B,E01001847,467,17,29,84,233,100,4,0
Hackney 018C,E01001848,655,20,44,198,297,77,7,4
Hackney 018D,E01001849,977,23,56,171,620,40,32,2
Hackney 019A,E01001729,863,7,6,19,769,20,4,0
Hackney 019B,E01001730,801,3,10,24,708,21,22,0
Hackney 019C,E01001732,696,5,8,28,612,9,7,0
Hackney 019D,E01001735,661,15,38,232,331,37,6,0
Hackney 019E,E01001838,705,6,8,19,644,13,4,0
Hackney 019F,E01001850,676,5,4,9,630,6,3,0
Hackney 020A,E01001748,1090,14,27,151,425,433,26,0
Hackney 020B,E01001749,743,14,60,160,225,257,4,0
Hackney 020C,E01001763,742,10,45,101,302,257,13,0
Hackney 020D,E01001816,640,7,71,189,274,91,6,0
Hackney 020E,E01001819,684,21,118,150,218,176,1,0
Hackney 021B,E01001744,786,33,66,171,358,133,12,0
Hackney 021C,E01001750,782,16,49,91,487,105,12,1
Hackney 021D,E01001751,676,8,134,235,90,196,8,0
