2011 super output area - lower layer,mnemonic,All categories: Accommodation type,Unshared dwelling: Whole house or bungalow: Detached,Unshared dwelling: Whole house or bungalow: Semi-detached,Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace),"Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building",Unshared dwelling: Caravan or other mobile or temporary structure
Harrow 022C,E01002195,610,66,398,48,74,11,13,0
Harrow 022D,E01002196,616,101,476,35,3,0,1,0
Harrow 023A,E01002126,1203,53,153,29,867,70,16,0
Harrow 023B,E01002127,628,87,213,64,217,41,1,0
Harrow 023C,E01002129,889,41,132,81,455,147,26,0
Harrow 023D,E01002131,586,17,185,176,175,32,1,0
Harrow 024A,E01002237,648,27,101,164,138,203,3,0
Harrow 024B,E01002238,596,20,208,252,53,56,5,0
Harrow 024C,E01002240,655,19,168,247,167,52,2,0
Harrow 024D,E01002242,613,33,494,41,26,16,3,0
Harrow 025A,E01002208,483,119,352,2,6,3,1,0
Harrow 025B,E01002209,546,61,334,6,74,9,62,0
Harrow 025C,E01002239,635,79,414,10,102,27,3,0
Harrow 025D,E01002241,536,29,398,15,81,11,2,0
Harrow 027A,E01002133,896,79,61,95,618,33,8,0
Harrow 027B,E01002136,638,45,271,92,177,40,13,0
Harrow 027C,E01002138,509,23,83,323,56,24,0,0
Harrow 027D,E01002213,1116,30,204,260,512,94,14,0
Harrow 028A,E01002211,477,15,160,236,55,11,0,0
Harrow 028B,E01002212,647,27,137,150,293,19,21,0
Harrow 028C,E01002216,513,17,114,355,15,12,0,0
Harrow 028D,E01002217,552,19,90,113,323,5,2,0
Harrow 029A,E01002132,828,92,131,76,386,122,11,0
Harrow 029B,E01002134,603,113,95,32,331,31,1,0
Harrow 029C,E01002135,657,79,169,99,272,16,22,0
Harrow 029D,E01002137,468,42,61,192,102,54,13,0
Harrow 030A,E01002218,606,64,266,74,159,38,5,0
Harrow 030B,E01002219,605,38,128,256,79,59,44,1
Harrow 030C,E01002221,511,8,273,88,84,25,33,0
Harrow 030D,E01002222,488,20,342,89,18,17,2,0
Harrow 031A,E01002214,612,26,115,311,129,30,0,1
Harrow 031B,E01002215,595,25,122,284,126,19,19,0
Harrow 031C,E01002220,493,13,227,181,57,14,1,0
Harrow 031D,E01002223,591,11,411,115,17,26,11,0
Harrow 031E,E01002224,497,14,241,157,77,7,1,0
Harrow 032A,E01002204,634,15,86,242,222,22,47,0
Harrow 032B,E01002206,457,9,112,274,46,14,1,1
Harrow 032C,E01002207,524,18,150,324,15,16,1,0
Harrow 032D,E01002210,504,18,223,229,14,19,1,0
Harrow 032E,E01032576,520,12,144,349,3,11,1,0
Harrow 033A,E01002170,408,20,216,159,2,11,0,0
Harrow 033B,E01002171,534,18,257,134,76,38,11,0
Harrow 033C,E01002172,493,9,170,274,22,17,1,0
Harrow 033D,E01002173,529,21,218,258,7,22,0,0
Harrow 033E,E01002174,483,15,364,44,27,24,9,0
Harrow 033F,E01002175,406,16,324,14,19,15,18,0
Harrow 033G,E01002176,535,17,365,61,36,35,21,0
Harrow 033H,E01002177,452,7,350,13,47,8,27,0
Harrow 033I,E01002178,502,9,478,9,2,4,0,0
Havering 001A,E01002276,694,89,263,234,96,2,5,5
Havering 001B,E01002278,631,16,220,249,133,7,0,4
Havering 001C,E01002312,642,75,118,238,92,5,1,113
Havering 001D,E01002313,630,26,137,341,72,1,0,53
Havering 002A,E01002277,608,26,279,188,113,2,0,0
Havering 002B,E01002279,634,20,216,340,57,1,0,0
Havering 002C,E01002281,756,11,144,186,406,3,6,0
Havering 002D,E01002283,594,9,168,314,100,0,2,1
Havering 002E,E01002299,664,25,278,293,64,4,0,0
Havering 003A,E01002301,627,99,359,108,59,1,1,0
Havering 003B,E01002303,823,41,237,198,327,13,7,0
Havering 003C,E01002304,524,156,163,161,28,9,3,4
Havering 003D,E01002306,625,22,166,172,262,1,2,0
Havering 003E,E01002307,636,7,488,36,101,3,1,0
Havering 004A,E01002280,621,13,129,224,246,1,2,0
Havering 004B,E01002282,668,13,141,167,316,2,29,0
Havering 004C,E01002284,765,15,246,373,128,1,2,0
Havering 004D,E01002297,670,8,191,168,297,2,4,0
Havering 004E,E01002314,623,18,133,380,90,1,1,0
Havering 004F,E01002316,740,16,79,295,342,3,5,0
Havering 005A,E01002302,598,16,488,37,40,7,10,0
Havering 005B,E01002305,608,22,275,279,31,0,1,0
Havering 005C,E01002308,670,65,183,280,139,3,0,0
Havering 005D,E01002326,627,16,280,241,39,7,44,0
Havering 005E,E01002331,596,48,170,352,20,5,1,0
Havering 006A,E01002309,651,96,216,166,167,2,4,0
Havering 006B,E01002310,712,24,110,348,217,8,5,0
Havering 006C,E01002311,668,30,338,199,96,2,3,0
Havering 006D,E01002315,633,10,155,297,164,4,3,0
Havering 007A,E01002293,801,55,346,124,234,24,18,0
Havering 007B,E01002294,626,109,340,76,89,6,0,0
Havering 007C,E01002296,691,165,291,177,32,17,8,1
Havering 007D,E01002298,654,49,346,220,33,5,1,0
Havering 007E,E01002300,715,54,411,85,133,22,1,0
Havering 008A,E01002333,516,50,392,63,3,1,7,0
Havering 008B,E01002334,674,187,438,19,24,6,0,0
Havering 008C,E01002336,612,46,349,161,50,0,6,0
Havering 008D,E01002339,602,109,434,59,0,0,0,0
Havering 008E,E01002341,557,34,436,79,7,0,1,0
Havering 009A,E01002327,595,63,196,251,79,4,2,0
Havering 009B,E01002328,642,22,391,174,39,15,1,0
Havering 009C,E01002332,683,62,214,284,112,9,2,0
Havering 009D,E01002335,592,32,190,207,152,1,7,0
Havering 009E,E01002338,523,40,294,125,43,15,6,0
Havering 009F,E01002340,509,21,170,274,31,12,1,0
Havering 010A,E01002268,519,111,267,69,67,4,0,1
Havering 010B,E01002269,678,79,431,113,47,1,6,1
Havering 010C,E01002295,670,95,256,135,176,8,0,0
Havering 010D,E01002377,711,80,171,266,155,14,25,0
Havering 010E,E01002378,604,19,214,354,13,3,0,1
Havering 010F,E01002383,659,31,429,121,71,0,7,0
Havering 011A,E01002244,749,49,226,216,209,43,2,0
Havering 011B,E01002245,630,39,289,207,68,22,4,0
Havering 011C,E01002325,755,24,188,277,251,9,3,0
Havering 011D,E01002329,643,78,300,219,32,7,7,0
Havering 011E,E01002330,737,94,229,184,226,4,0,0
Havering 012A,E01002337,512,313,60,5,105,7,11,0
Havering 012B,E01002354,561,119,265,52,92,24,5,0
Havering 012C,E01002376,520,155,276,56,24,8,1,0
Havering 012D,E01002379,659,177,216,22,184,18,42,0
Havering 012E,E01002380,1036,131,181,40,663,18,3,0
Havering 012F,E01002381,645,171,140,102,228,3,1,0
Havering 013A,E01002243,847,40,144,136,456,55,13,0
Havering 013B,E01002353,832,140,310,103,227,33,19,0
Havering 013C,E01002356,1037,7,151,79,699,41,54,0
Havering 013E,E01032741,663,8,51,16,470,60,30,0
Havering 013F,E01032742,644,27,156,46,360,44,8,0
Havering 014A,E01002272,536,79,243,184,19,3,8,0
Havering 014B,E01002274,692,116,368,102,92,8,6,0
Havering 014C,E01002317,544,167,249,111,17,0,0,0
Havering 014D,E01002318,614,57,256,292,1,2,6,0
Havering 014E,E01002355,574,15,156,387,10,2,4,0
Havering 014F,E01002382,765,96,336,119,177,34,3,0
Havering 015A,E01002270,634,414,20,7,189,2,0,0
Havering 015B,E01002271,515,474,27,8,6,0,0,0
Havering 015C,E01002273,490,277,173,29,3,2,5,1
Havering 015D,E01002275,517,271,203,21,22,0,0,0
Havering 016A,E01002319,652,29,337,98,167,10,11,0
Havering 016B,E01002350,711,18,136,159,342,43,6,0
Havering 016C,E01002351,653,19,362,179,34,40,19,0
Havering 016D,E01002352,722,68,251,89,262,38,7,0
Havering 016E,E01002358,791,23,249,289,157,59,11,0
Havering 017A,E01002246,637,14,361,177,74,2,9,0
Havering 017B,E01002247,729,13,206,326,149,18,17,0
Havering 017C,E01002248,592,76,151,162,172,14,15,2
Havering 017D,E01002249,746,5,170,281,260,17,3,1
Havering 017E,E01002250,642,27,141,294,168,12,0,0
Havering 017F,E01002251,526,11,200,191,108,15,1,0
Havering 018A,E01002252,617,132,288,160,36,1,0,0
Havering 018B,E01002256,620,103,323,155,30,4,5,0
Havering 018C,E01002258,797,61,257,123,328,17,11,0
Havering 018D,E01002259,612,38,189,350,30,0,2,3
Havering 018E,E01002391,608,73,452,47,27,0,8,1
Havering 019A,E01002253,615,103,504,6,2,0,0,0
Havering 019B,E01002254,636,112,422,74,10,3,15,0
Havering 019C,E01002257,651,198,308,12,129,4,0,0
Havering 019D,E01002384,644,75,469,57,26,7,9,1
Havering 020A,E01002359,515,21,292,119,74,6,3,0
Havering 020B,E01002360,742,67,294,37,313,9,17,0
Havering 020C,E01002361,822,37,206,135,348,10,84,0
Havering 020D,E01002363,686,39,255,140,244,1,7,0
Havering 020E,E01002367,658,54,351,37,168,36,12,0
Havering 021A,E01002320,537,17,195,309,13,1,2,0
Havering 021B,E01002321,635,206,195,141,53,10,29,1
Havering 021C,E01002322,731,53,134,518,26,0,0,0
Havering 021D,E01002323,627,52,278,247,42,6,2,0
Havering 021E,E01002324,650,86,268,183,101,8,4,0
Havering 022A,E01002255,630,29,290,248,54,9,0,0
Havering 022B,E01002289,621,14,469,109,20,4,5,0
Havering 022C,E01002292,637,16,478,48,80,7,8,0
Havering 022D,E01002362,616,76,359,23,120,26,12,0
Havering 022E,E01002386,871,85,330,26,315,28,87,0
Havering 023A,E01002287,602,8,393,173,13,3,12,0
Havering 023B,E01002291,775,18,415,42,264,11,25,0
Havering 023C,E01002364,542,61,407,49,8,15,2,0
Havering 023D,E01002365,552,7,288,163,61,1,32,0
Havering 023E,E01002366,568,25,229,291,19,3,1,0
Havering 024A,E01002385,601,109,363,109,12,3,4,1
Havering 024B,E01002387,607,99,493,13,0,0,2,0
Havering 024C,E01002388,608,122,451,20,9,5,1,0
Havering 024D,E01002389,623,146,448,6,21,2,0,0
Havering 024E,E01002390,531,54,457,15,2,0,3,0
Havering 025A,E01002265,638,11,183,375,57,5,7,0
Havering 025B,E01002285,520,33,403,68,5,5,5,1
Havering 025C,E01002286,614,26,514,70,3,1,0,0
Havering 025D,E01002288,554,67,312,138,35,0,2,0
Havering 025E,E01002290,641,19,568,39,13,2,0,0
Havering 026A,E01002260,566,15,263,264,20,1,3,0
Havering 026B,E01002261,645,17,138,412,53,5,20,0
Havering 026C,E01002262,625,10,355,165,90,4,1,0
Havering 026D,E01002263,609,24,271,304,8,0,2,0
Havering 026E,E01002264,710,13,91,205,382,18,1,0
Havering 027A,E01002266,600,9,505,49,30,1,6,0
Havering 027B,E01002267,734,13,190,328,198,3,2,0
Havering 027C,E01002372,603,47,238,314,1,1,2,0
Havering 027D,E01002373,628,70,139,340,70,9,0,0
Havering 027E,E01002374,604,17,136,346,89,1,13,0
Havering 028A,E01002368,696,74,133,113,360,7,4,3
Havering 028B,E01002369,730,182,244,178,117,6,3,0
Havering 028C,E01002370,846,59,330,123,309,24,1,0
Havering 028D,E01002371,643,163,149,278,41,6,6,0
Havering 028E,E01002375,688,50,104,306,222,3,3,0
Havering 029A,E01002343,636,241,312,73,7,1,1,1
Havering 029B,E01002344,638,141,267,155,67,6,1,1
Havering 029C,E01002348,642,171,317,135,17,1,1,0
Havering 029D,E01002349,608,193,224,149,40,1,1,0
Havering 030A,E01002342,632,24,117,357,114,4,16,0
Havering 030B,E01002345,756,35,114,205,366,13,23,0
Havering 030C,E01002346,557,40,241,231,36,5,4,0
Havering 030D,E01002347,526,29,262,214,16,3,2,0
Hillingdon 001A,E01002473,636,381,25,33,182,15,0,0
Hillingdon 001B,E01002475,692,146,47,168,310,20,1,0
Hillingdon 001C,E01002476,611,366,26,78,126,13,2,0
Hillingdon 001D,E01002477,559,172,63,65,164,81,5,1
Hillingdon 001E,E01002482,617,486,76,23,28,2,1,1
Hillingdon 002A,E01002472,771,96,58,56,511,23,27,0
Hillingdon 002B,E01002474,643,130,191,180,76,36,30,0
Hillingdon 002C,E01002478,666,101,165,96,182,105,17,0
Hillingdon 002D,E01002483,714,148,281,21,178,39,44,1
Hillingdon 002E,E01002484,585,50,258,155,108,7,7,0
Hillingdon 002F,E01002485,762,110,175,66,358,43,10,0
Hillingdon 003A,E01002438,480,126,157,117,62,18,0,0
Hillingdon 003B,E01002439,608,100,214,138,127,4,25,0
Hillingdon 003C,E01002440,618,77,298,82,141,16,1,3
Hillingdon 003D,E01002441,667,143,129,214,168,8,2,3
Hillingdon 003E,E01002442,635,19,356,142,106,6,4,2
Hillingdon 004A,E01002433,782,115,236,201,206,22,2,0
Hillingdon 004B,E01002436,658,123,299,140,78,15,3,0
Hillingdon 004C,E01002479,628,62,275,157,121,12,1,0
Hillingdon 004D,E01002480,713,305,204,61,122,21,0,0
Hillingdon 004E,E01002481,659,77,180,130,258,5,6,0
Hillingdon 005A,E01002533,589,45,253,208,78,4,1,0
Hillingdon 005B,E01002534,607,197,198,53,149,10,0,0
Hillingdon 005C,E01002538,746,163,136,223,209,6,9,0
Hillingdon 005D,E01002539,619,287,189,22,114,7,0,0
Hillingdon 006A,E01002418,658,15,533,45,60,2,3,0
Hillingdon 006B,E01002419,611,37,414,16,134,7,3,0
Hillingdon 006C,E01002431,489,47,431,6,2,3,0,0
Hillingdon 006D,E01002432,635,69,304,20,159,24,59,0
Hillingdon 006E,E01002437,608,320,186,7,90,3,2,0
Hillingdon 007A,E01002430,524,390,109,6,6,10,3,0
Hillingdon 007B,E01002434,504,337,116,16,26,5,4,0
Hillingdon 007C,E01002435,535,331,178,5,8,12,1,0
Hillingdon 007D,E01002470,702,206,201,32,123,27,113,0
Hillingdon 007E,E01002535,828,218,114,33,364,31,67,1
Hillingdon 008A,E01002416,593,18,371,176,24,4,0,0
Hillingdon 008B,E01002417,638,221,256,64,53,16,24,1
Hillingdon 008C,E01002420,662,45,363,119,125,7,3,0
Hillingdon 008D,E01002421,636,99,416,30,68,8,15,0
Hillingdon 008E,E01002471,634,100,136,367,22,7,2,0
Hillingdon 009A,E01002465,633,19,232,81,241,40,20,0
Hillingdon 009B,E01002467,639,77,363,84,109,4,2,0
Hillingdon 009C,E01002494,637,17,214,325,71,9,1,0
Hillingdon 009D,E01002536,609,74,90,195,243,3,4,0
Hillingdon 009E,E01002537,579,154,87,175,154,3,6,0
Hillingdon 010A,E01002415,643,4,72,558,5,3,0,1
Hillingdon 010B,E01002466,633,7,67,545,8,6,0,0
Hillingdon 010C,E01002468,633,14,70,515,19,12,1,0
Hillingdon 010D,E01002469,631,23,107,460,26,14,1,0
Hillingdon 010E,E01002495,695,28,139,396,116,10,6,0
Hillingdon 011A,E01002458,543,336,187,2,12,6,0,0
Hillingdon 011B,E01002459,622,383,223,13,3,0,0,0
Hillingdon 011C,E01002460,597,133,216,40,146,19,43,0
Hillingdon 011D,E01002462,506,198,240,45,23,0,0,0
Hillingdon 011E,E01002464,623,26,474,60,49,8,5,1
Hillingdon 013A,E01002461,516,415,40,27,34,0,0,0
Hillingdon 013B,E01002463,528,304,203,10,10,0,1,0
Hillingdon 013C,E01002512,647,341,136,48,111,7,2,2
Hillingdon 013D,E01002513,544,290,113,8,123,1,9,0
Hillingdon 013E,E01002516,490,379,49,18,37,5,2,0
Hillingdon 014A,E01002450,503,9,93,390,7,4,0,0
Hillingdon 014B,E01002451,493,17,292,153,27,1,3,0
Hillingdon 014C,E01002452,500,24,134,313,10,4,13,2
Hillingdon 014D,E01002453,599,8,177,372,34,7,1,0
Hillingdon 014E,E01002454,661,10,190,301,133,15,11,1
Hillingdon 015A,E01002414,527,100,103,102,191,25,6,0
Hillingdon 015C,E01002514,885,90,173,196,382,29,15,0
Hillingdon 015D,E01002515,718,84,206,97,285,21,25,0
Hillingdon 015F,E01033725,945,156,267,216,278,22,6,0
Hillingdon 016B,E01002520,603,24,187,183,186,15,7,1
Hillingdon 016C,E01002521,909,20,118,117,568,40,36,1
Hillingdon 016D,E01002523,549,27,310,121,56,27,8,0
Hillingdon 016F,E01033724,1051,99,356,288,215,82,11,0
Hillingdon 017A,E01002410,638,192,161,192,75,9,8,1
Hillingdon 017B,E01002412,822,229,215,137,201,6,4,0
Hillingdon 017C,E01002456,621,70,267,171,96,10,7,0
Hillingdon 017D,E01002509,502,185,300,8,3,5,1,0
Hillingdon 017E,E01002511,613,40,287,212,49,8,16,1
Hillingdon 018A,E01002422,494,8,367,25,58,12,24,0
Hillingdon 018B,E01002423,568,27,437,31,51,5,14,2
Hillingdon 018C,E01002424,526,13,381,100,24,7,1,0
Hillingdon 018D,E01002425,613,36,308,77,186,4,1,1
Hillingdon 018E,E01002427,514,10,376,10,115,0,3,0
Hillingdon 018F,E01002428,496,28,347,22,82,16,0,1
Hillingdon 019A,E01002408,629,58,191,212,152,15,1,0
Hillingdon 019B,E01002409,672,110,330,58,154,16,3,1
Hillingdon 019C,E01002429,498,36,225,120,107,10,0,0
Hillingdon 019D,E01002455,652,105,239,182,98,23,5,0
Hillingdon 019E,E01002457,517,24,177,186,77,23,30,0
Hillingdon 020A,E01002392,618,16,113,234,249,5,1,0
Hillingdon 020B,E01002393,705,27,196,164,244,71,2,1
Hillingdon 020C,E01002540,621,51,176,162,213,14,5,0
Hillingdon 020D,E01002542,665,20,161,59,382,28,15,0
Hillingdon 020E,E01002543,625,25,195,164,227,12,2,0
Hillingdon 021A,E01002394,508,16,354,59,61,15,3,0
Hillingdon 021B,E01002395,424,18,257,109,28,9,3,0
Hillingdon 021C,E01002397,514,26,169,147,68,27,75,0
Hillingdon 021D,E01002398,493,19,348,70,43,13,0,0
Hillingdon 021E,E01002399,474,22,282,143,16,8,3,0
Hillingdon 021F,E01002426,631,42,166,387,18,8,10,0
Hillingdon 022A,E01002411,632,51,251,136,175,12,1,1
Hillingdon 022B,E01002413,594,40,203,134,202,11,4,0
Hillingdon 022C,E01002518,490,122,231,61,65,2,8,1
Hillingdon 022D,E01002519,719,36,222,121,319,4,0,17
Hillingdon 022E,E01002550,795,21,134,197,436,6,1,0
Hillingdon 022F,E01002554,1073,44,127,230,593,30,40,9
Hillingdon 023A,E01002541,785,154,249,278,92,12,0,0
Hillingdon 023B,E01002544,555,102,161,202,79,9,1,1
Hillingdon 023C,E01002545,483,31,161,162,126,3,0,0
Hillingdon 023D,E01002546,449,27,212,197,10,2,1,0
Hillingdon 023E,E01002547,492,25,154,149,133,23,4,4
Hillingdon 024A,E01002400,599,35,361,97,89,9,8,0
Hillingdon 024B,E01002401,609,62,173,204,139,25,4,2
Hillingdon 024C,E01002402,491,26,365,35,53,12,0,0
Hillingdon 024D,E01002403,543,40,332,116,51,2,0,0
Hillingdon 024E,E01002404,675,26,179,166,266,31,6,1
Hillingdon 025A,E01002548,657,21,258,150,207,16,2,3
Hillingdon 025B,E01002549,672,47,330,131,145,14,3,2
Hillingdon 025C,E01002551,641,21,353,134,114,18,1,0
Hillingdon 025D,E01002552,526,45,280,170,20,8,3,0
Hillingdon 025E,E01002553,603,17,269,229,79,7,2,0
Hillingdon 026A,E01002396,563,31,282,93,141,8,8,0
Hillingdon 026B,E01002501,506,31,286,113,62,13,1,0
Hillingdon 026C,E01002502,491,24,234,196,26,11,0,0
Hillingdon 026D,E01002505,682,15,165,176,321,5,0,0
Hillingdon 026E,E01002508,648,39,149,212,237,10,1,0
Hillingdon 027A,E01002405,634,30,262,178,140,17,7,0
Hillingdon 027B,E01002406,680,35,325,157,113,36,9,2
Hillingdon 027C,E01002503,497,24,265,125,47,15,16,0
Hillingdon 027D,E01002504,726,41,182,172,301,22,5,1
Hillingdon 027E,E01002506,643,29,184,46,308,23,53,0
Hillingdon 027F,E01002507,465,23,344,67,13,14,4,0
Hillingdon 028A,E01002486,699,24,366,144,159,6,0,0
Hillingdon 028B,E01002487,614,35,174,263,123,15,4,0
Hillingdon 028C,E01002526,635,17,330,175,99,6,6,0
Hillingdon 028D,E01002528,563,21,276,218,37,9,1,1
Hillingdon 028E,E01002532,886,10,197,301,360,12,0,1
Hillingdon 029A,E01002445,588,21,124,174,249,10,10,0
Hillingdon 029B,E01002525,647,139,253,87,147,20,1,0
Hillingdon 029C,E01002529,771,58,197,173,254,60,29,0
Hillingdon 029D,E01002530,619,11,223,154,214,11,6,0
Hillingdon 029E,E01002531,644,162,237,94,126,17,8,0
Hillingdon 030A,E01002407,725,49,250,78,304,26,6,0
Hillingdon 030B,E01002488,533,36,368,76,36,17,0,0
Hillingdon 030C,E01002489,537,36,340,62,74,23,2,0
Hillingdon 030D,E01002490,656,46,321,197,73,12,7,0
Hillingdon 030E,E01002492,488,33,308,108,21,5,12,1
Hillingdon 031A,E01002444,625,72,281,110,140,20,1,1
Hillingdon 031B,E01002446,592,77,296,138,56,19,4,2
Hillingdon 031C,E01002447,623,44,223,112,213,26,2,3
Hillingdon 031D,E01002527,622,91,158,104,177,25,2,65
Hillingdon 032A,E01002443,547,26,251,142,116,12,0,0
Hillingdon 032B,E01002448,765,38,175,210,311,15,9,7
Hillingdon 032C,E01002449,710,32,183,78,378,35,3,1
Hillingdon 032D,E01002491,519,30,210,156,113,9,1,0
Hillingdon 032E,E01002493,601,41,123,267,162,8,0,0
Hillingdon 033A,E01002496,767,12,157,254,327,10,7,0
Hillingdon 033B,E01002497,759,119,191,84,305,27,33,0
Hillingdon 033C,E01002498,516,61,375,48,26,6,0,0
Hillingdon 033D,E01002499,678,71,299,66,200,42,0,0
Hillingdon 033E,E01032577,601,57,401,113,25,3,2,0
Hounslow 001A,E01002569,792,13,41,424,74,231,7,0
Hounslow 001B,E01002570,732,15,107,134,136,234,89,0
Hounslow 001C,E01002573,679,51,201,114,63,221,7,0
Hounslow 001D,E01002574,645,14,154,113,222,119,18,0
Hounslow 001E,E01002575,688,13,249,71,169,132,36,0
Hounslow 003A,E01002562,518,32,195,131,123,32,5,0
Hounslow 003B,E01002564,736,18,176,228,234,71,7,2
Hounslow 003C,E01002566,1027,11,35,69,886,8,3,13
Hounslow 003D,E01002568,1181,16,60,141,944,10,9,1
Hounslow 003F,E01033081,649,0,13,34,574,10,7,6
Hounslow 003G,E01033082,659,6,15,11,619,5,1,2
Hounslow 004A,E01002620,676,30,145,73,391,16,21,0
Hounslow 004B,E01002625,492,37,299,123,29,3,0,1
Hounslow 004C,E01002626,490,38,297,52,87,11,5,0
Hounslow 004D,E01002627,609,21,63,135,382,7,1,0
Hounslow 004E,E01002631,509,29,155,184,134,4,1,0
Hounslow 005A,E01002633,623,26,145,146,288,7,1,10
Hounslow 005B,E01002634,546,18,69,90,364,2,2,1
Hounslow 005C,E01002637,563,24,61,172,282,15,0,9
Hounslow 005D,E01002638,582,18,160,138,245,17,4,0
Hounslow 006A,E01002563,635,20,167,219,170,53,3,0
Hounslow 006B,E01002565,1020,21,112,266,457,135,16,1
Hounslow 006C,E01002567,837,32,81,371,172,164,9,0
Hounslow 006D,E01002684,1096,28,111,191,650,57,28,22
Hounslow 006E,E01002686,681,25,218,199,218,17,3,1
Hounslow 007A,E01002571,611,27,82,226,231,34,0,11
Hounslow 007B,E01002572,710,16,82,136,438,25,7,1
Hounslow 007C,E01002577,660,33,187,81,220,126,13,0
Hounslow 007D,E01002578,612,67,236,102,169,28,9,1
Hounslow 007E,E01002689,796,12,38,394,267,74,4,0
Hounslow 007F,E01002690,612,31,193,80,138,157,3,0
Hounslow 008A,E01002576,756,43,140,63,335,168,3,0
Hounslow 008B,E01002579,823,46,180,158,338,95,4,2
Hounslow 008C,E01002580,675,12,58,122,328,128,10,0
Hounslow 008D,E01002581,862,25,68,232,379,149,5,0
Hounslow 008E,E01002582,719,17,78,378,194,50,2,0
Hounslow 009A,E01002675,877,47,364,118,319,27,2,0
Hounslow 009B,E01002678,669,111,290,37,188,35,8,0
Hounslow 009C,E01002679,643,33,324,27,189,66,2,2
Hounslow 009D,E01002680,728,111,214,46,299,50,8,0
Hounslow 010A,E01002619,624,45,376,62,128,8,5,0
Hounslow 010B,E01002622,526,30,288,88,110,6,0,0
Hounslow 010C,E01002632,569,40,368,29,125,6,1,0
Hounslow 010D,E01002635,524,22,341,38,106,9,8,0
Hounslow 010E,E01002636,609,27,261,242,67,8,1,0
Hounslow 011A,E01002618,512,28,421,22,32,8,1,0
Hounslow 011B,E01002621,594,39,280,89,162,24,0,0
Hounslow 011C,E01002623,484,24,256,86,87,19,10,0
Hounslow 011D,E01002628,620,60,296,109,127,19,6,0
Hounslow 011E,E01002629,715,69,289,73,254,23,7,0
Hounslow 012A,E01002630,569,33,281,73,143,26,13,0
Hounslow 012B,E01002639,497,31,353,53,29,17,9,1
Hounslow 012C,E01002640,548,49,256,151,41,41,8,0
Hounslow 012D,E01002674,668,31,226,108,289,11,2,1
Hounslow 012E,E01002676,559,62,337,36,96,21,0,0
Hounslow 013A,E01002583,512,77,218,110,102,3,2,0
Hounslow 013B,E01002584,493,35,120,205,106,17,10,0
Hounslow 013C,E01002585,509,28,226,155,67,24,5,0
Hounslow 013D,E01002586,457,31,178,221,14,11,2,0
Hounslow 013E,E01002589,677,18,197,146,281,21,11,1
Hounslow 014A,E01002668,883,24,89,313,414,29,6,1
Hounslow 014B,E01002669,711,23,183,266,185,51,3,0
Hounslow 014C,E01002681,741,29,141,239,303,26,3,0
Hounslow 014D,E01002682,927,26,177,298,399,15,8,1
Hounslow 014E,E01002683,1037,33,131,516,293,49,14,1
Hounslow 015A,E01002642,735,20,169,110,343,52,31,0
Hounslow 015B,E01002643,910,30,273,150,423,25,2,0
Hounslow 015C,E01002645,766,44,166,250,238,55,8,0
Hounslow 015D,E01002658,501,25,315,45,79,29,5,0
Hounslow 015E,E01002677,652,25,145,95,257,88,24,1
Hounslow 016A,E01002587,605,29,252,111,176,36,1,0
Hounslow 016B,E01002588,677,28,57,148,434,8,2,0
Hounslow 016C,E01002660,522,34,250,95,93,42,5,1
Hounslow 016D,E01002661,518,25,196,205,33,40,19,0
Hounslow 016E,E01002665,524,38,207,89,167,21,2,0
Hounslow 017A,E01002624,480,19,164,114,165,12,5,1
Hounslow 017B,E01002646,712,28,153,90,375,39,16,1
Hounslow 017C,E01002662,627,44,333,52,95,77,14,0
Hounslow 017D,E01002663,751,48,137,201,314,45,1,1
Hounslow 017E,E01002664,596,44,116,114,278,24,13,2
Hounslow 018A,E01002641,637,62,147,103,250,64,4,0
Hounslow 018C,E01002648,900,78,217,200,300,67,25,3
Hounslow 018D,E01002649,692,36,153,131,195,92,27,1
Hounslow 018E,E01002657,650,89,285,133,78,55,7,0
Hounslow 018F,E01033083,643,2,13,13,561,9,44,1
Hounslow 018G,E01033084,648,19,78,100,330,90,13,1
Hounslow 019A,E01002653,542,13,430,74,5,14,1,0
Hounslow 019B,E01002654,646,14,251,304,65,11,1,0
Hounslow 019C,E01002655,622,39,372,98,70,35,8,0
Hounslow 019D,E01002656,479,21,303,108,35,10,2,0
Hounslow 019E,E01002659,504,22,199,205,72,6,0,0
Hounslow 020A,E01002667,651,18,91,229,267,27,18,1
Hounslow 020B,E01002670,708,23,265,167,240,7,6,0
Hounslow 020C,E01002671,636,27,203,362,23,19,0,2
Hounslow 020D,E01002672,683,7,35,68,565,3,3,0
Hounslow 020E,E01002673,621,2,14,11,578,5,2,0
Hounslow 021A,E01002647,753,34,232,323,151,13,0,0
Hounslow 021B,E01002650,792,29,254,144,338,16,9,2
Hounslow 021C,E01002651,550,42,241,137,75,39,6,0
Hounslow 021D,E01002652,516,38,272,103,54,48,1,0
Hounslow 021E,E01002666,407,15,287,43,39,22,0,1
Hounslow 022A,E01002555,681,33,405,117,105,19,1,1
Hounslow 022B,E01002556,639,22,332,119,143,21,1,1
Hounslow 022C,E01002590,726,69,252,113,242,38,10,2
